NOB ORIGINAL	SME_Finland	komm	SME2_Finland	SME_Norge	SME2_Norge	FIN MANUELL	SME APERTIUM	NOBSME Google	FINSME google	NOBSME TARTU	FINSME TARTU	
skolemåltid	skuvlaborramuš				kouluateria	skuvlamális	skuvlaborramuš	skuvlaborramuš	skuvlabeavdi	skuvlabeavdi		
krisereaksjon	kriisareakšuvdna					kriisireaktio	heahtedillereakšuvdna	kriisavástádus	kriisavástádus	heahtečoavdin	kriisareakšuvdna	
krisetilstand	kriisadilli					kriisitila	heahtedilledilli	kriisadilli	kriisamodealla	heahtedilli	heahtedilli	
vevhormon	gođushormona					kudoshormoni	gođushormona	čáhcehormona	čáhcehormona	goaŧŧo- Hormon	gođđoshormon	
vevsvæske	gođusgolggus					kudosneste	gođussiedja	čáhceávdnasat	čáhceávdnasat	čuovgalaheapmi	gođđinduodji	
vevskade	gođusvahát					kudosvaurio	#gođus#vaháguvvan	čáhcevahágat	čáhcevahágat	čuovvovahát	gođđovahát	
fibermengde	fiibermearri					kuitumäärä	fiibera #mearri	fibermearri	fibermearri	fiberhivvodat	fibermearri	
fiberinntak	fiibera oažžun					kuidun saanti	fiibera oažžun	fiberváldin	fiberváldin	fibersisaboallu	fibera oažžun	
fibertilskudd	fiiberlassi					kuitulisä		fiberlasáhus	fiberlasáhus	fibero-lastojuvvon	fiber lasáhus	fiiberlassi
fiberinnhold	fiibermearri					kuitumäärä	fiibermearri	fibersisdoallu	fibermearri	fibersisdoallu	fiberhivvodat	
fibertype	fiibertiipa					kuitutyyppi	fiibertiipa	fiberšládja	fiberšládja	fiberiid šládja	fiberiijadovdu	
klapptørke	láhkkodansihkkun					taputtelukuivaus	goikkis 	kuivvat	kuivvat	kláhppajoavku	goikaduvvon boahkuhemiin	
cellestoff	selluloosalimsku					kuitukangastaitos		seallaávnnas	kuivvanbábir	seallaávnnas	goikadanbábir	
dehydrere	goikat					kuivua	goikat	dehydrere	goikkis	galmmasteaddji	goikečoahkki	
uttørring	goikan					kuivuminen	goikat	kuivvan	dehydreren	goikadeapmi	goikadibme	
transportmedium	fievrredanávnnas					kuljetusaine	fievrridanávnnas	fievrridanvuohki	fievrridanáššedovdi	fievrridanmedium	fievrrideapmi	
forløp	johtu					kulku	johtu	ovdáneapmi	čađamanahat	proseassa	johttu	
kulturgrense	kulturrádji					kulttuuriraja		kulturrádji	kulturrádji	kulturrádji	kulturrádji	
kulturkonflikt	kulturkonflikta					kultuurikonflikti		kultuvrralaš riiddu	kultuvrralaš riiddu	kulturriidu	kulturriidu	
omsorgssjef	fuolhanhoavda					kunnallinen terveyden ja sairaanhoidon johtaja	#suohkanlaš healssa ja buohccedivššu hoavda	fuolahushoavda	dearvvašvuođa- ja buohccedivššu gielddadirektevra	fuolahushoavda	gieldda dearvvašvuođa ja buohccedikšunjođiheaddji	
rehabilitere	rehabiliteret 		veajuiduhttit			kuntouttaa		rehabiliteret	rehabiliteret	veajuiduhttin	veajuiduhttin	
habilitering	habiliteren		veajuiduhttin			kuntoutus	veajuiduhttin	hárjehallan	rehabiliteren	habiliteren	veajuiduhttin	
rehabiliteringsfase	veajuiduhttinmuddu					kuntoutusvaihe	veajuiduhttinoassi	rehabiliterenfáddá	rehabiliterenáigodat	veajuiduhttináigi	veajuiduhttináigi	
rehabiliteringsopphold 	veajuiduhttináigodat					kuntoutusjakso	veajuiduhttinoassi	rehabiliteren orrun	rehabiliterenáigodat	veajuiduhttinorrun	veajuiduhttináigi	
rehabiliteringsinstitusjon	veajuiduhttinlágádus					kuntoutuslaitos	veajuiduhttinásahus	gárrendilleásahus	rehabiliterenlágádus	veajuiduhttinásahus	veajuiduhttinásahus	
rehabiliteringsforløp	veajuiduhttinbálggis					kuntoutuspolku	veajuiduhttinluodda	rehabiliterenkursa	rehabiliterenvuohki	veajuiduhttináigi	veajuiduhttinbálggis	
koldbrann	jápmaoažži					kuolio	nekroosi	gangrena	gangrena	galmmas buollin	heahpat	
nekrose	nekrosa					nekroosi	nekroosi	nekrosa	gangrena	nekrosa	heahpat	
slaggprodukt	bázaávnnas					kuona-aine		slákkabuktagis	nuoskkidanávnnas	ráppi buvtta	vuoiddadanávnnas	
avfallsstoff	bázahusávdnasat					kuonanaineet		nuoskkidanávnnas	šládjaávdnasat	doapparávdnasat	govvádusat	
strupelokk	guoggomaslohkki					kurkunkansi	#gurkálohkki	njuoratmánná	njuoratmánná	rievssatlávki	guovssonásti	
kontraktur	kontraktuvra					kontraktuura	kontraktuura	kontraktuvra	njiedjan	soahpamuš	goarráneapmi	
menstruasjonssyklus	mánodávdagierdu, mensagierdu					kuukautiskierto	#mensagarvin	mánnui	mánnui	mánodávda	mánodávddat	
menstruasjonsblod	mánodávdavarra, mensavarra					kuukautisveri	#mensavarra	mánnui varra	mánnui varra	mánodávdavarra	mánodávdavarra	
hørselsproblem	gullováttisvuohta					kuulo-ongelma	gulluproblema	gullanváttisvuohta	gullanváttisvuohta	gullanváttisvuođat	gullováttisvuohta	
hørselsvanske	gullohástalus					kuulo-vaikeus	gulluproblema	váttis gullat	gullanváttisvuohta	gullanváttisvuođat	gullováttisvuohta	
hetetokt	báhkkavuohkku 	£				kuuma aalto	#báhkas bárru	liegga čáhci	lieggabuollá	heahtečoavji	báhkka bárru	
feberstigning	febera loktaneapmi					kuumeen nousu	febera #loktaneapmi	feber loktana	feber lassána	feber loktaneapmi	feberluohti	
temperaturforhøyelse	temperatuvrra lassáneapmi					lämpötilan nousu	febera #loktaneapmi	temperatuvra loktana	feber lassána	temperatuvrra loktaneapmi	feberluohti	
feberperiode	feberáigodat					kuumejakso	feberoassi	feberáigodat	feberáigodat	feberdávda	báhkkaáigodat	
feberkurve	feberkurva					kuumekäyrä	febersodju	feberkurva	feberkurva	feber giehtagierdu	lieggagierdu	
febertilstand	feberdilli					kuumetila	feberdilli	feberdilli	feberdilli	feberdávda	feber	
kroppsside	gorutbealli					kehon puoli	erttet	rumašbealli	bealli	rumašbealli	ravda	
sideleie 	siidustellelmas					kylkiasento	erttetstellelmas	siidoláigoheapmi	bealle sajádat	siidoláigu	ravdajuolgi	
ribbeinsbrudd	ertterdávtti doddjon					kylkiluun murtuma	sárddi 	rievssatčuohpadeapmi	rievssatčuohpadeapmi	ravdalohki	hui ravdamearka	
nedkjøling	čoaskudeapmi					jäähdytys		čoaskkis	galbma	galmmasteapmi	galmmasteapmi	
kuldepåvirkning	galbmasa váikkuhus					kylmän vaikutus	galbmasa váikkuhus	galbma váikkuhus	galbma váikkuhus	galmmasvuođa váikkuhus	galbmasa váikkuhus	
dørterskel	šielbmá					kynnys	šielbmá	uvssa rádji	šielbmá	uvssa gođa	árdnagiisá	
pukkelrygg	buggi, buggečielgi					kyttyräselkä  köyryselkä kyfoosi	*kyttyräselkä  	njuoratmánná	njuoratmánná kyfosa	beahceoaivil	guovssonásti čeabetsealgga kyfosa	
krykke	gieđavuolsoabbi					kainalosauva		njuolggočalbmi	njuolggočalbmi	riekkis	guovssonásti	
håndledd	giehtalađas					käsinivel	gieđa lađas	giehtaruohtas	giehtalihttu	giehtabáddi	gieđa liigegeaži	
håndtrykk	giehtačárva					kädenpuristus		giehtačoaggin	giehtačoaggin	giehtadeaddu	gieđačuvgehus	
håndlag	giehtadáidu					kädentaito	ote	giehtajoavku	Giehtabargomáhttu	giehtaduodji	giehtaduodji	gieđadáidu
ferdighetstrening	dáidohárjehallan					taitoharjoittelu	gieđadáidduid hárjehallan	gelbbolašvuođaoahpahus	giehtadáidduid hárjehallan	dáidduid hárjehallan	giehtačehppiid hárjehallan	
hånddesinfeksjon	giehtadesinfekšuvdna					käsidesinfektio	giehtadesinfekšuvdna	giehtadesinfiseren	giehtadesinfiseren	giehtadesinfekšuvdna	giehtadesinfekšuvdna	
håndhygiene	giehtahygiena					käsihygienia	giehtabuhtisindoallan	giehtahygiena	giehtahygiena	giehtabuhtisvuohta	giehtabassama birra	
begrepsfeste	doahpagastit					käsitteellistää		doahpagiid čatnon	jurddašit	doabaevttohus	doabaevttohus	
forståelsesform	áddenmálle, ipmirdanmálle, áddemforbma, ipmirdanforbma		£			käsitysmalli	ipmárdusdáhpi	áddejumi hápmi	áican	ipmárdusa vuohki	bargovuohki	
armbrudd	giehtadoddjon					käsivarren murtuma	giehtanađa 	billašuvvan giehta	billašuvvan giehta	giehtaborddu	gieđa mii lea botkejuvvon	
krybbedød	gietkkajápmin					kätkytkuolema	gietkkajápmin	mánáidgárddis jápmin	cot jápmin	jápmin riebanluosat	jávkan suollemasat	
gangfunksjon	vázzindoaibma					kävelytoiminto	vázzingálga	vánddardanfunkšuvdna	vánddardannávccat	vázzinfunkšuvdna	vázzinmáhttu	
ganghastighet	vázzinleaktu					kävelynopeus	vázzinjohtilvuohta	vánddardanleahttu	vánddardanleahttu	vázzinleaktu	vázzinmátki	
praksissted	hárjehallanbáiki, praksisbáiki					harjoittelupaikka	geavada hárjehallanbáiki	hárjehallanbáiki	praktihkalaš hárjehallan	hárjehallanbáiki	praktihkalaš hárjehallanbáiki	
praksiskontekst	hárjehallankonteaksta					käytännön konteksti	geavada konteaksta	hárjehallankonteaksta	praktihkalaš konteaksta	praksiskonteaksta	lea geavatlaš	
ferdighetsutøvelse	dáidduid hárjehallan					taitojen harjoittelu	geavada dáidduid hárjehallan	gelbbolašvuođahárjehallan	praktihkalaš dáidduid hárjeheapmi	dáiddu hárjehallan	geavatlaš máhttui hárjehallan	
ferdighetslæring	dáidduid oahppan					taitojen oppiminen	geavada dáidduid oahppat	gelbbolašvuođaoahppan	oahppat praktihkalaš dáidduid	dáidduid oahppan	geavatlaš máhtuid oahppu	
praksisteori	geavatlaš teoriija, praksisteoriija					käytännön teoria	geavada teoriija	hárjehallanteoriija	praktihkalaš teoriija	praksisteoriija	geavatlaš teoriija	
handlingskunnskap	geavatlaš diehtu					käytännön tieto	geavada diehtu	doaibmamáhttu	praktihkalaš máhttu	doaibmanmáhttu	geavatlaš máhttu	
ferdighetskunnskap	válmmasvuođa diehtu					valmiustieto	geavada diehtodáidu	gelbbolašvuohta	praktihkalaš máhttu	dáidduidmáhttu	geavatlaš máhttu	
praktiker	ámmátbargi					ammatinharjoittaja	geavada aktevra	hárjeheaddji	praktihkalaš doaibmi	hárjehallit	geavatlaš doaibma	
fronesiskunnskap	geavatlaš diehtodáidu					käytännön tietotaito	geavadii *pohjautuva diehtu	phronesis máhttu	máhttu mii vuođđuduvvá hárjehallamii	fronesiamáhttu	vuođđuduvvá praksisii	
atferdsendring	láhttenrievdadus					käytöksen muutos	ealagearddi iežáhus	doaibmanrievdadus	doaibmanrievdadus	láhttenrievdadus	láhttema rievdadeapmi	
atferdsforstyrrelse	láhttenhehttehus					käytöshäiriö	ealageardesegohus	doaibmahehttehus	doaibmahehttehus	láhttenváttisvuohta	láhttenváttisvuohta	
atferdsfaktor	láhttenfáktor					käytöstekijä	#ealageardi#dahkki	doaibmafáktor	doaibmafáktor	láhttenfáktor	láhttenvuohki	
atferdsterapi	láhttenterapiija					käytösterapia	ealageardeterapiija	doaibmaterapiija	doaibmaterapiija	láhttenterapiija	láhttenterapiija	
kvalitetsnivå	kvalitehttadássi					laadun taso	dásu dássi	kvalitehtadássi	kvalitehta dássi	kvalitehtadássi	kvalitehta dássi	
kvalitetsutviklingstiltak	kvalitehtaovddidandoaibmabidju					laadun kehittämistoimenpide	#dássu#ovddideapmidoaibmabidju	kvalitehtaovdáneami doaibmabijut	kvalitehta buoridanmearrádus	kvalitehtaovddidandoaibmabidju	kvalitehtaovdánahttindoaibmabidju	
kvalitetsutviklingsarbeid	kvalitehtaovdánahttinbargu					laadun kehittämistyö	#dássu#ovddideapmibargu	kvalitehta ovddidanbargu	kvalitehta ovddidanbargu	kvalitehtaovddidanbargu	kvalitehtaovdánahttinbargu	
kvalitetsutviklingsprosess	kvalitehtaovddidanproseassa					laadun kehittämisprosessi	dásoahtanuššanprojeakta	kvalitehta ovddidanproseassa	kvalitehta ovddidanprošeakta	kvalitehtaovdánahttinproseassa	kvalitehtaovdánahttinprošeakta	
kvalitetsutviklingsprosjekt	kvalitehtaovddidanprošeakta					laadun kehittämishanke	dásobuorádusfidnu	kvalitehta ovddidanprošeakta	kvalitehta buoridanprošeakta	kvalitehtaovdánahttinprošeakta	kvalitehtabuoridanprošeakta	
ekspansjonsmulighet	viidáneami vejolašvuohta					laajenemismahdollisuus		viiddidanvejolašvuohta	viiddidanvejolašvuohta	viiddidanvejolašvuohta	stuorrunvejolašvuohta	
kvalitetsdimensjon	kvalitehtadimenšuvdna					laatu-ulottuvuus	dássoolli	kvalitehtadimenšuvdna	kvalitehtadimenšuvdna	kvalitehta dimenšuvdna	kvalitehta-dimenšuvdna	
kvalitetsforskrift	kvalitehttaásahus					laatumääräys	dássoásahus	kvalitehtareguleren	kvalitehtaásahus	kvalitehtaláhkaásahus	kvalitehta	
kvalitetssystem	kvalitehtavuogádat					laatujärjestelmä	dássovuogádat	kvalitehtavuogádat	kvalitehtavuogádat	kvalitehtavuogádat	kvalitehtavuogádat	
kvalitetskultur	kvalitehtakultuvra					laatukulttuuri	dássokultuvra	kvalitehtakultuvra	kvalitehtakultuvra	kvalitehtakultuvra	kvalitehtakultuvra	
kvalitetsnorm	kvalitehtanorpma					laatunormi	dássonorbma	kvalitehtastandárda	kvalitehtastandárda	kvalitehtanorpma	kvalitehtanorpma	
kvalitetsproblem	kvalitehtaváttisvuohta					laatuongelma	dássoproblema	kvalitehtaváttisvuohta	kvalitehtaváttisvuohta	kvalitehtaváttisvuohta	kvalitehtaváttisvuohta	
kvalitetsmål	kvalitehttaulbmil					laatutavoite	dássoulbmil	kvalitehtamihtideamit	kvalitehtaulbmil	kvalitehtaulbmil	kvalitehtaulbmil	
institusjonsmiljø	lágádusbiras, intitušuvnnabiras					laitosympäristö	ásahusbiras	ásahuslaš biras	rusttetbiras	institušuvdnabiras	lágádusbiras	
patient- og brukerrettighetslov	láhka patienta sajádagas ja vuoigatvuođain, patientaláhka 			patienta- ja geavaheaddjivuoigatvuođaláhka		Laki potilaan asemasta ja oikeuksista, potilaslaki	láhka #buohcci rivttiin	Geavaheaddjivuoigatvuođaid láhka	láhka pasieanttaid vuoigatvuođaid birra	geavaheaddjivuoigatvuođaláhka	pasientta vuoigatvuođaid láhka	
lovforbud	láhkagielddus					lakisääteinen kielto	*lakisääteinen gieldu	lágalaš gielddus	láhkaásahuvvon gielddus	láhkagielddus	lágas mearriduvvon gielddus	
laktoseintoleranse	laktosaintoleránsa					laktoosi-intoleranssi	laktosaintoleránsa	laktosa ii gierdavašvuohta	laktosa ii gierdavašvuohta	laktosa-geaseheapmi	laktosa gierdameahttunvuohta	
laktosetoleranse	laktosatoleránsa					laktoosin sietokyky	laktosa 	laktosa dohkkeheapmi	laktosa ii gierdavašvuohta	laktosa gierdameahttunvuohta	laktosa gierdilvuohta	
lanolin	lanoliidna					lanoliini		lanolin	lanolin	lanoliidna	lanoliidna	
kolbe	mihttoláse					mittalasi	mittalasi	kolbba	glássagáldu	gálbi	lásešlájas	láselihtti
venesystem	morččávuogádat					laskimojärjestelmä	morašvuogádat	venála ortnet	venála ortnet	veanasystema	vena vuogádat	
venekateter	morččákatehtár					laskimokatetri	#moraš#katehtár	venála katehterat	intravenalaš katehter	veaikešealgadat	venalaš katetriija	
veneutvidelse	morččáviidáneami					laskimolaajentuma		varrasuotnadilatašuvdna	čalbmeváttut	veanaviiddideapmi	veaikeovdaneapmi	
veneklaff	morččáuvssot					laskimoläppä	morašleahppi	venála ventiila	venála ventiila	ventiilalohku	veaikeolmmái	
veneport	morččápoartta					laskimoportti	morašpoarta	portálaveana	portálaveana	veneporta	vulos verrát	
venetrombose	morččábuđohat					laskimotukos	#morčesuotnabuđohat	venála trombosa	venála okklušuvdna	venetromboza	veaikečoavji	
venetrombose	morččátrombosa					laskimotromboosi	#morčesuotnabuđohat  	venála trombosa	venála okklušuvdna venála trombosa	venetromboza	varrasonála vearellatromboza	
senkningsreaksjon	vuojuhanreakšuvdna,seŋkká					lasko,senkka	*lasko  	lassáneaddji reakšuvdna	jorggihit skáhppon	vuolidanreakšuvdna	rehket	
pediatri	pediatria					pediatria, lastentaudit	pediatria	mánáidsuodjalus	mánnávuođa dávddat	mánáidterapiija	mánáidgárddit	mánáiddávddat
trigger	triggejeaddji					laukaisija, triggeröijä		báhcahat	báhcahat	álggaheaddji	álggaheaddji	
tallerkenkant	tallearkarávda					lautasen reunus	#dallearka 	pláhta gáttis	pláhta rámma	láse ravda	ravda beavddi birra	
tallerkenmodell	dallearkamálle					lautasmalli		pláhtamálle	pláhtamálle	láđđemodealla	láhtterátnu	
sondeernæring	bohccibiepman					letkuruokinta	enteraalinen ravitsemus	čáhcebohcci	giehtaborramuš	sondealáhus	lektorborramuš	
hvilestoffskifte	vuoiŋŋastanávnnasmolsašuvvan					lepoaineenvaihdunta	#vuoiŋŋasteapmi#ávnnasmolsašuvvan	vuoiŋŋastanmetabolisma	vuoiŋŋastanmetabolisma	vuoiŋŋasteapmi	vuoiŋŋasteapmi	
hvilestilling	muossẹstellelmas,vuoiŋŋastanstellelmas					lepoasento	vuoiŋŋastanstellelmas	vuoiŋŋastanposišuvdna	vuoiŋŋastanposišuvdna	vuoiŋŋadanbáiki	vuoiŋŋadanlatnja	
hvilesmerte	muossebávččas, vuoiŋŋastanbávččas					lepokipu	vuoiŋŋastanbávččas	vuoiŋŋastanváttut	vuoiŋŋastanváttut	vuoiŋŋasteapmi	muhtinlágan vuoiŋŋasteapmi	
hvilepuls	muosseravkkas, vuoiŋŋastanravkkas		muossepulsa, vuoiŋŋastanpulsa		leposyke  lepopulssi	*leposyke  vuoiŋŋastanravkkas	vuoiŋŋastan váibmofrekveansa	vuoiŋŋastan váibmofrekveansa vuoiŋŋastanpulsa	vuoiŋŋasteapmi	vuoiŋŋasteapmi		
hvilevolum	muossevoluma, vuoiŋŋastanvoluma					lepovolyymi	vuoiŋŋastanvoluma	vuoiŋŋastanvoluma	vuoiŋŋastanvoluma	vuoiŋŋastanhivvodat	vuoiŋŋastanfálaldat	
sondeløsning	biebmoluvvadus			sondeluvvadus		ravintoliuos		iskkadeami čoavddus	čáhcebohcciid ráhkadeapmi	sonnetčoavddus	dálkkas mii doalvu bottu	
lidokain	lidokaidna					lidokaiini		lidokain	lidokain	lidokaidna	lidokaidna	
lindring	geahpedeapmi					lievitys		geahpádus	láhčit dili	geahpádus	ávžžuhus	
muskelsvekkelse	deahkkegeanohisvuohta					lihasheikkous	oažžeheadju	lihkastaga váibmováttut	lihkastaga váibmováttut	deahkkemeahttun deattut	lihkadanvátni	
muskelspenning	deahkkegealdu					lihasjännite	oažžegealdu	lihkastagaid čavgavuohta	lihkastagaid čavgavuohta	deahkkesealgga	deahkkaleapmi	
muskelkrampe	deahkkekrámpa		suotnageasáhat			lihaskramppi	suonenveto	lihkastagaid	lihkastagaid	min lihkastahttin	muskleravda	oažžekrámpa
muskelfiber	oažžefiiber					lihaskuitu	oažžefiiber	lihkastaga fiber	lihkastaga fiber	dego muskulašávnnas	čáhppeslihtti	
muskelmasse	oažžemássá					lihasmassa	#oažži#mássá	lihkastaga	lihkastaga	deahkkemeahttun	deahkkemeahttun	
muskelprotein	oažžeproteiidna					lihasproteiini	#oažži#proteidna	lihkastaga proteiidna	lihkastaga proteiidna	muskulašproteinealla	muskulatuvraproteiidna	
muskelgruppe	deahkkejoavku					lihasryhmä	oažžejoavku	lihkastagaid joavku	lihkastagaid joavku	muskkaljoavku	muskkaljoavku	
muskelsykdom	oažžedávda		deahkkedávda			lihassairaus	oažžebuohcu	lihkastaga dávda	lihkastaga dávda	deahkkedávda	mielkegusa dávda	
muskelknute	deahkkečuolbma					lihassolmu	 myooma	lihkastaga	lihkastaga seallabuozalmasvuohta	muskulaš guolga	lihassolbmosuvdna	oažžeseallaguorti
muskelkontraksjon 	deahkkečárvestat					lihassupistus		lihkastagaid čoagganeapmi	lihkastagaid čoagganeapmi	deahkkemeahttun muskleráhkadeapmi	dakkár ahte oažžu lihkastagaid	
muskelomfang	oažžesturrodat					lihaskoko	oččiid #ollis	lihkastagaid sturrodat	lihkastaga sturrodat	muskela viidodat	muskkal sturrodat	
muskelbruk	dehkiid gaevaheapmi					lihasten käyttö	oččiid atnin	lihkastagaid geavaheapmi	lihkastagaid geavaheapmi	deahkkedoaibma	dego muskkelgeavaheapmi	
muskelatrofi 	deahkkeatrofia					lihasatrofia, lihasten surkastuminen	oččiid 	lihkastaga atrofiija	lihkastaga atrofiija	deahkkedávda	deahkkemeahttun lihkastagat	
muskelsvinn	deahkkejávku					lihaskato		lihkastagaid jávkan	lihkastaga atrofiija	deahkkemeahttun	deahkkemeahttun lihkastagat	oččiid 
muskelaktivitet	deahkkedoaibma					lihastoiminta	oažžedoaibma	lihkastaga aktivitehta	lihkastaga aktivitehta	deahkkedoaibma	dego lihkahallan	
muskelarbeid	deahkkebargu					lihastyö	oažžebargu	lihkastagaid bargu	lihkastagaid bargu	deahkkedoaibma	lihkadus	
muskelkraft	deahkkefábmu					lihasvoima	oažžefápmu	lihkastaga fápmu	lihkastagaid fápmu	muskulaš jođiheapmi	muskulaš jođádat	
muskelvolum	deahkkevolyma					lihasvolyymi  lihastilavuus	oažževoluma #oažži#daddjásvuohta  	lihkastaga sturrodat	lihkastagaid sturrodat lihkastagaid voluma	deahkkemearri	muskkaluossamihttu	
overskuddsvæske	liigegolggus					ylijäämäneste	liigi siedja #badjelmearálaš siedja	badjelmeare čáhci	menddo ollu čáhci liige čáhci	badjelmearálaš golgi	ila olu golggus badjelmearálaš golggus	
bevegelighetstrening	soddjilvuođahárjehallan					liikkuvuusharjoittelu	gávpehárjehallan	lihkadanhárjehallan	lihkadanhárjehallan	lihkadanhárjehallan	fitnodatdoaibma	
bevegelsesinnskrenkning	lihkadanráddjehus					liikerajoite	gávperáddjen	lihkadanráddjehus	lihkadanráddjehus	lihkadanráddjen	fitnodatrádji	
mobilisering	mobiliseren					liikkeellelähtö		mobiliseren	vuolggahit	mobiliseren	johtingeađgejuolgi	
bevegelsesforstyrrelse	lihkadanhehttehus					liikkumishäiriö	lihkkat segohus	lihkadanváttut	lihkadanváttut	lihkahallanváttisvuohta	lihkahallanváttisvuohta	
bevegelseskapasitet	lihkadankapasitehta					liikkumiskapasiteetti	lihkkat #kapasitehtta	lihkadanvejolašvuohta	lihkadankapasitehta	lihkadanváldi	lihkadanváldi	
